               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  88,            0.022767,             0.10645,          0.00069336,             0.86778,             0.88332,             0.89489,              0.6087,            0.025385,             0.12806,          0.00054413,            0.001387,            0.001387,            0.001387
                  89,            0.022556,            0.098566,          0.00068808,             0.87293,             0.89209,             0.90244,             0.60891,            0.025395,             0.12642,          0.00052961,            0.001288,            0.001288,            0.001288
                  90,            0.023029,              0.1053,          0.00067141,             0.87147,             0.89248,              0.8986,             0.60617,             0.02528,             0.12793,           0.0005366,            0.001189,            0.001189,            0.001189
                  91,            0.023058,            0.099992,          0.00065024,             0.84975,             0.88894,             0.88365,             0.60093,            0.025799,             0.13192,          0.00056376,             0.00109,             0.00109,             0.00109
                  92,            0.022727,             0.10068,          0.00070928,             0.88914,             0.87219,             0.89255,             0.60705,            0.025422,             0.12662,          0.00053057,            0.000991,            0.000991,            0.000991
                  93,            0.022543,             0.10106,           0.0007782,             0.87627,             0.86398,             0.89039,             0.60964,            0.025616,             0.13111,          0.00055351,            0.000892,            0.000892,            0.000892
                  94,            0.022819,             0.10146,          0.00075467,             0.86949,             0.87132,             0.89071,              0.6059,            0.025358,              0.1278,          0.00053502,            0.000793,            0.000793,            0.000793
                  95,            0.022516,             0.10323,          0.00070373,             0.86834,             0.88282,             0.89266,             0.60456,             0.02542,             0.12724,          0.00052425,            0.000694,            0.000694,            0.000694
                  96,            0.022673,             0.10113,          0.00089095,             0.86777,             0.88311,             0.89275,             0.60681,            0.025581,             0.12921,           0.0005234,            0.000595,            0.000595,            0.000595
                  97,              0.0222,             0.09589,          0.00074799,             0.86158,             0.87692,             0.89345,             0.60835,            0.025622,             0.13172,          0.00057062,            0.000496,            0.000496,            0.000496
                  98,            0.022751,            0.099617,          0.00064594,             0.87489,              0.8817,             0.89585,             0.60753,            0.025458,             0.12933,          0.00057253,            0.000397,            0.000397,            0.000397
                  99,            0.021919,            0.096865,          0.00066509,             0.85394,             0.88417,             0.88793,             0.60605,            0.025599,             0.13065,          0.00057004,            0.000298,            0.000298,            0.000298
